index,n_objects,gt_triplets,n_trials,mean_errors,median_errors,task_name
0,10,8,21,8.619047619047619,7.0,scene_description
1,10,14,3,3.3333333333333335,4.0,scene_description
2,10,15,3,8.0,8.0,scene_description
3,10,16,23,9.869565217391305,10.0,scene_description
4,10,17,6,13.333333333333334,15.5,scene_description
5,10,18,3,9.333333333333334,9.0,scene_description
6,10,19,2,8.0,8.0,scene_description
7,10,20,3,10.666666666666666,11.0,scene_description
8,10,21,5,9.8,12.0,scene_description
9,10,22,5,10.4,12.0,scene_description
10,10,23,2,9.0,9.0,scene_description
11,10,24,5,9.8,10.0,scene_description
12,10,25,2,5.0,5.0,scene_description
13,10,26,6,9.0,10.0,scene_description
14,10,27,2,8.5,8.5,scene_description
15,10,28,4,11.75,12.5,scene_description
16,10,29,1,13.0,13.0,scene_description
17,10,32,2,12.5,12.5,scene_description
18,10,36,2,12.0,12.0,scene_description
19,11,9,20,10.65,10.0,scene_description
20,11,14,1,14.0,14.0,scene_description
21,11,15,1,11.0,11.0,scene_description
22,11,16,1,13.0,13.0,scene_description
23,11,17,3,15.333333333333334,16.0,scene_description
24,11,18,18,8.555555555555555,9.0,scene_description
25,11,19,6,10.833333333333334,9.5,scene_description
26,11,20,4,8.75,8.5,scene_description
27,11,21,5,9.6,13.0,scene_description
28,11,22,7,10.0,10.0,scene_description
29,11,23,5,11.0,10.0,scene_description
30,11,24,3,5.666666666666667,8.0,scene_description
31,11,25,7,7.285714285714286,8.0,scene_description
32,11,26,4,6.0,7.5,scene_description
33,11,27,2,11.0,11.0,scene_description
34,11,29,1,8.0,8.0,scene_description
35,11,30,1,20.0,20.0,scene_description
36,11,31,1,10.0,10.0,scene_description
37,11,32,1,17.0,17.0,scene_description
38,11,33,3,14.333333333333334,14.0,scene_description
39,11,34,1,17.0,17.0,scene_description
40,11,35,1,10.0,10.0,scene_description
41,11,37,3,14.333333333333334,13.0,scene_description
42,11,40,1,14.0,14.0,scene_description
43,12,18,2,12.0,12.0,scene_description
44,12,19,2,11.0,11.0,scene_description
45,12,20,37,10.702702702702704,11.0,scene_description
46,12,21,2,3.0,3.0,scene_description
47,12,22,6,13.0,12.5,scene_description
48,12,23,5,12.4,13.0,scene_description
49,12,24,9,11.555555555555555,11.0,scene_description
50,12,25,4,7.5,7.0,scene_description
51,12,26,4,12.0,11.5,scene_description
52,12,27,2,12.0,12.0,scene_description
53,12,28,5,13.6,13.0,scene_description
54,12,30,8,11.5,12.0,scene_description
55,12,31,1,9.0,9.0,scene_description
56,12,32,6,10.833333333333334,11.5,scene_description
57,12,34,2,13.0,13.0,scene_description
58,12,36,1,11.0,11.0,scene_description
59,12,40,1,12.0,12.0,scene_description
60,12,45,1,12.0,12.0,scene_description
61,12,48,1,21.0,21.0,scene_description
62,12,52,1,12.0,12.0,scene_description
63,13,18,3,15.0,16.0,scene_description
64,13,19,1,15.0,15.0,scene_description
65,13,20,5,15.0,12.0,scene_description
66,13,21,1,21.0,21.0,scene_description
67,13,22,4,12.75,15.0,scene_description
68,13,23,1,2.0,2.0,scene_description
69,13,24,3,13.0,13.0,scene_description
70,13,25,5,13.6,14.0,scene_description
71,13,26,3,6.333333333333333,5.0,scene_description
72,13,27,3,10.333333333333334,10.0,scene_description
73,13,28,4,11.25,12.5,scene_description
74,13,29,5,12.0,14.0,scene_description
75,13,30,6,14.833333333333334,15.0,scene_description
76,13,31,2,9.5,9.5,scene_description
77,13,32,3,6.666666666666667,6.0,scene_description
78,13,33,33,13.454545454545455,12.0,scene_description
79,13,34,2,13.5,13.5,scene_description
80,13,35,2,13.0,13.0,scene_description
81,13,36,1,16.0,16.0,scene_description
82,13,39,2,11.5,11.5,scene_description
83,13,40,2,16.0,16.0,scene_description
84,13,41,2,16.0,16.0,scene_description
85,13,42,4,10.75,6.5,scene_description
86,13,43,1,12.0,12.0,scene_description
87,13,48,1,12.0,12.0,scene_description
88,13,49,1,19.0,19.0,scene_description
89,14,20,1,13.0,13.0,scene_description
90,14,21,1,11.0,11.0,scene_description
91,14,22,1,11.0,11.0,scene_description
92,14,24,3,12.666666666666666,13.0,scene_description
93,14,25,2,11.0,11.0,scene_description
94,14,26,1,23.0,23.0,scene_description
95,14,27,1,13.0,13.0,scene_description
96,14,28,3,11.666666666666666,11.0,scene_description
97,14,29,3,13.0,14.0,scene_description
98,14,30,4,11.0,11.0,scene_description
99,14,31,3,9.333333333333334,10.0,scene_description
100,14,32,4,12.5,12.5,scene_description
101,14,33,2,11.0,11.0,scene_description
102,14,34,1,18.0,18.0,scene_description
103,14,35,6,12.666666666666666,12.5,scene_description
104,14,36,2,10.5,10.5,scene_description
105,14,37,4,14.0,14.0,scene_description
106,14,38,4,13.5,13.5,scene_description
107,14,39,1,19.0,19.0,scene_description
108,14,40,4,11.75,12.0,scene_description
109,14,41,1,13.0,13.0,scene_description
110,14,42,6,12.333333333333334,11.5,scene_description
111,14,43,1,22.0,22.0,scene_description
112,14,44,2,13.5,13.5,scene_description
113,14,45,2,17.0,17.0,scene_description
114,14,46,2,8.0,8.0,scene_description
115,14,48,20,13.0,11.5,scene_description
116,14,50,1,12.0,12.0,scene_description
117,14,51,2,11.0,11.0,scene_description
118,14,52,1,6.0,6.0,scene_description
119,14,58,10,14.0,13.0,scene_description
120,14,76,1,19.0,19.0,scene_description
121,15,23,2,12.5,12.5,scene_description
122,15,24,1,24.0,24.0,scene_description
123,15,30,1,13.0,13.0,scene_description
124,15,33,1,25.0,25.0,scene_description
125,15,34,1,14.0,14.0,scene_description
126,15,35,4,12.25,12.5,scene_description
127,15,36,1,17.0,17.0,scene_description
128,15,37,1,9.0,9.0,scene_description
129,15,38,2,13.0,13.0,scene_description
130,15,39,7,14.857142857142858,16.0,scene_description
131,15,40,5,16.0,16.0,scene_description
132,15,42,2,14.5,14.5,scene_description
133,15,43,5,13.6,14.0,scene_description
134,15,44,3,14.666666666666666,14.0,scene_description
135,15,45,1,11.0,11.0,scene_description
136,15,47,3,11.333333333333334,11.0,scene_description
137,15,48,1,17.0,17.0,scene_description
138,15,49,1,12.0,12.0,scene_description
139,15,51,2,12.0,12.0,scene_description
140,15,52,1,13.0,13.0,scene_description
141,15,53,4,12.25,9.5,scene_description
142,15,54,2,12.0,12.0,scene_description
143,15,55,4,16.0,15.5,scene_description
144,15,56,3,16.333333333333332,16.0,scene_description
145,15,57,1,11.0,11.0,scene_description
146,15,58,1,16.0,16.0,scene_description
147,15,60,1,13.0,13.0,scene_description
148,15,61,1,5.0,5.0,scene_description
149,15,64,1,14.0,14.0,scene_description
150,15,65,10,10.0,8.5,scene_description
151,15,67,5,14.6,14.0,scene_description
152,15,69,1,33.0,33.0,scene_description
153,15,74,1,9.0,9.0,scene_description
154,15,76,13,14.76923076923077,15.0,scene_description
155,15,78,2,10.0,10.0,scene_description
156,15,81,1,15.0,15.0,scene_description
157,15,87,1,15.0,15.0,scene_description
158,15,96,3,18.666666666666668,13.0,scene_description
